district_name,state,country
Ahmednagar,Maharashtra,India
Akola,Maharashtra,India
Amravati,Maharashtra,India
Aurangabad,Maharashtra,India
Beed,Maharashtra,India
Bhandara,Maharashtra,India
Buldhana,Maharashtra,India
Chandrapur,Maharashtra,India
Dhule,Maharashtra,India
Gadchiroli,Maharashtra,India
Gondia,Maharashtra,India
Hingoli,Maharashtra,India
Jalgaon,Maharashtra,India
Jalna,Maharashtra,India
Kolhapur,Maharashtra,India
Latur,Maharashtra,India
Mumbai City,Maharashtra,India
Mumbai Suburban,Maharashtra,India
Nagpur,Maharashtra,India
Nanded,Maharashtra,India
Nandurbar,Maharashtra,India
Nashik,Maharashtra,India
Osmanabad,Maharashtra,India
Palghar,Maharashtra,India
Parbhani,Maharashtra,India
Pune,Maharashtra,India
Raigad,Maharashtra,India
Ratnagiri,Maharashtra,India
Sangli,Maharashtra,India
Satara,Maharashtra,India
Sindhudurg,Maharashtra,India
Solapur,Maharashtra,India
Thane,Maharashtra,India
Wardha,Maharashtra,India
Washim,Maharashtra,India
Yavatmal,Maharashtra,India
