tehsil_name,district,state,country
Nagar,Ahmednagar,Maharashtra,India
Shevgaon,Ahmednagar,Maharashtra,India
Pathardi,Ahmednagar,Maharashtra,India
Parner,Ahmednagar,Maharashtra,India
Sangamner,Ahmednagar,Maharashtra,India
Kopargaon,Ahmednagar,Maharashtra,India
Akole,Ahmednagar,Maharashtra,India
Shrirampur,Ahmednagar,Maharashtra,India
Nevasa,Ahmednagar,Maharashtra,India
Rahata,Ahmednagar,Maharashtra,India
Rahuri,Ahmednagar,Maharashtra,India
Shrigonda,Ahmednagar,Maharashtra,India
Karjat,Ahmednagar,Maharashtra,India
Jamkhed,Ahmednagar,Maharashtra,India
Akola,Akola,Maharashtra,India
Akot,Akola,Maharashtra,India
Telhara,Akola,Maharashtra,India
Balapur,Akola,Maharashtra,India
Patur,Akola,Maharashtra,India
Murtajapur,Akola,Maharashtra,India
Barshitakli,Akola,Maharashtra,India
Amravati,Amravati,Maharashtra,India
Achalpur,Amravati,Maharashtra,India
Bhatkuli,Amravati,Maharashtra,India
Chandurbazar,Amravati,Maharashtra,India
Morshi,Amravati,Maharashtra,India
Nandgaon Khandeshwar,Amravati,Maharashtra,India
Dharni,Amravati,Maharashtra,India
Daryapur,Amravati,Maharashtra,India
Anjangaon Surji,Amravati,Maharashtra,India
Chandur,Amravati,Maharashtra,India
Dhamangaon,Amravati,Maharashtra,India
Tiosa,Amravati,Maharashtra,India
Warud,Amravati,Maharashtra,India
Aurangabad,Aurangabad,Maharashtra,India
Kannad,Aurangabad,Maharashtra,India
Soegaon,Aurangabad,Maharashtra,India
Sillod,Aurangabad,Maharashtra,India
Phulambri,Aurangabad,Maharashtra,India
Khuldabad,Aurangabad,Maharashtra,India
Vaijapur,Aurangabad,Maharashtra,India
Paithan,Aurangabad,Maharashtra,India
Gangapur,Aurangabad,Maharashtra,India
Beed,Beed,Maharashtra,India
Ashti,Beed,Maharashtra,India
Patoda,Beed,Maharashtra,India
Shirur Kasar,Beed,Maharashtra,India
Georai,Beed,Maharashtra,India
Majalgaon,Beed,Maharashtra,India
Wadwani,Beed,Maharashtra,India
Kaij,Beed,Maharashtra,India
Parli,Beed,Maharashtra,India
Ambajogai,Beed,Maharashtra,India
Bhandara,Bhandara,Maharashtra,India
Tumsar,Bhandara,Maharashtra,India
Pauni,Bhandara,Maharashtra,India
Mohadi,Bhandara,Maharashtra,India
Sakoli,Bhandara,Maharashtra,India
Lakhni,Bhandara,Maharashtra,India
Lakhandur,Bhandara,Maharashtra,India
Buldhana,Buldhana,Maharashtra,India
Chikhli,Buldhana,Maharashtra,India
Deulgaon Raja,Buldhana,Maharashtra,India
Jalgaon Jamod,Buldhana,Maharashtra,India
Khamgaon,Buldhana,Maharashtra,India
Lonar,Buldhana,Maharashtra,India
Malkapur,Buldhana,Maharashtra,India
Mehkar,Buldhana,Maharashtra,India
