raw_name,canonical_name
अर्जुणी,अर्जुणी
अस्वलपार,अस्वलपार
आंबेझरी,आंबेझरी
आमपायली,आमपायली
आलकणार,आलकणार
इरपुंडी,इरपुंडी
ईरूपटोला,ईरुपटोला
ईरूपधोडरी,ईरूपधोडरी
उदेगाव,उदेगाव
उमलपाल,उमरपाल
उशिरपार,उशिरपार
एडमपायली मोठी,एडमपायली मोठी
एडसगोंदी,एडसगोंदी
कचकल,कचकल
कटेझरी (कारवाफा),कटेझरी (कारवाफा)
कनगडी,कनगडी
कनारटोला,कनारटोला
कनेली,कनेली
कन्हाळगाव,कन्हाळगाव
कन्हाळटोला,कन्हाळटोला
करंगामी टोला,करंगामी टोला
करेमयान,करेमयान
करेमरका,करेमरका
कवडीकसा,कवडीकसा
कांदाळी,कांदाळी
काकडयेली,काकडयेली
कामथळा,कामथळा
कामनगड,कामनगड
कारवाफा बाजार मंगळ,कारवाफा बाजार मंगळ
किसनेली,किसनेली
कुडकवाही,कुडकवाही
कुथेगाव,कुथेगाव
कुपानेर,कुपानेर
कुलभट्टी,कुलभट्टी
कुसूमटोला,कुसूमटोला
केसनेर,केसनेर
केहकावाही,केहकावाही
कोंडेखल,कोंडेखल
कोंदा,कोंदा
कोकडकसा,कोकडकसा
कोपागुडा,कोपागुडा
कोलारबोडी,केलारबोडी
कोवानटोला,कोवानटोला
कोसमी क्र.1,कोसमी क्र.1
खरकाळी,खरकाळी
खरगी,खरगी
खांबाळा,खांबाळा
खुटगाव,खुटगाव
खेडी,खेडी
खेडेगाव,खेडेगाव
गजामेंढी,गजामेंढी
गटानेली,गटानेली
गट्टा,गट्टा
गट्टेपायली,गट्टेपायली
गातापेडी,गातापेडी
गायडोंग,गायडोंग
गिरोला,गिरोला
गुजनवाडी,गुजनवाडी
गुमडी,गुमडी
गुरेकसा,गुरेकसा
गोटा (कारवाफा),गोटा (कारवाफा)
गोटा (पेंढरी),गोटा (पेंढरी)
गोटाटोला,गोटाटोला
गोडलवाही,गोडलवाही
गोडलवाही टोला,गोडलवाही टोला
घोटेविहीर,घोटेविहीर
घोडेझरी,घोडेझरी
चव्हेला,चव्हेला
चातगाव टोला,चातगाव टोला
चातगाव बाजार बुध,चातगाव बाजार बुध
चारवाही,चारवाही
चिंगली,चिंगली
चिचोडा,चिचोडा
चिचोली,चिचोली
चिमरीकल,चिमरीकल
चुटिंगटोला,चुटिंगटोला
चुडीयाल,चुडीयाल
जप्पी,जप्पी
जांगदा,जांगदा
जांभळी,जांभळी
जांभळीझोरा,जांभळीझोरा
जेवलवाही,जेवलवाही
झरी,झरी
झाडापापडा,झाडापापडा
टवेटोला,टवेटोला
डब्बा,डब्बा
डोंगरहुड,डोंगरहुड
डोंरी,डोंरी
ढवळी,ढवळी
ढोरगट्टा,ढोरगट्टा
तळेगाव,तळेगाव
तळोधी,तळोधी
तहकापार,तहकापार
तुकुम,तुकुम
तुमडीकसा,तुमडीकसा
तुळमेर,तुळमेर
तोडे,तोडे
तोयागोंदी,तोयागोंदी
दराची,दराची
दुधमाळा,दुधमाळा
दुर्गापुर,दुर्गापुर
दुसानटोला,दुसानटोला
देउळगाव,देऊळगाव
देवसुर,देवसुर
नवरगाव,नवरगाव
नवेगाव,नवेगाव
निमगाव,निमगाव
निमनवाडा,निमनवाडा
पदाबोरीया,पदाबोरीया
पन्नेमारा,पन्नेमारा
पयडी,पयडी
परसवाडी,परसवाडी
परसविहीर,परसविहीर
पलखेडा,पलखेडा
पळसगाव,पळसगाव
पवणी,पवणी
पांढरसडा,पांढरसडा
पाथरगोटा (कारवाफा),पाथरगोटा (कारवाफा)
पाथरगोटा (पेंढरी),पाथरगोटा (पेंढरी)
पावरवेल,पावरवेल
पावेटोला,पावेटोला
पुलखल,पुलखल
पुसावंडी,पुसावंडी
पुस्टोला,पुस्टोला
पेकिन मुडझा,पेकिन मुडझा
फाशीटोला,फाशीटोला
फुलकोडो,फुलकोडो
फुलबोडी,फुलबोडी
बंधुर,बंधुर
बांधोना,बांधोना
बेलगाव,बेलगाव
बोटेहुर,बोटेहुर
बोधनखेडा,बोधनखेडा
बोधिन,बोधिन
बोरी,बोरी
भटम-यान,भटमऱ्यान
भापडा,भापडा
भिमपुर,भिमपुर
भुरानटोला,भुरानटोला
भुसनपुडो,भुसनपुडो
भेंडीकन्हार,भेंडीकन्हार
